key,screen,english,translation,review,verified,status
groupsEditGroupTitle,Edit Group,Edit Group,Usba ang Grupo,,,approved
groupsEditGroupTooltip,Groups List,Edit group,Usba ang grupo,,,approved
groupsEmptySeedHint,Groups List,Seed the MONHS demo groups or create your own.,Punoha ang mga demo group sa MONHS o maghimo sa imong kaugalingon.,,,approved
groupsGenericName,Group Membership Requests,Group,Grupo,,,approved
groupsGroupIsActive,Edit Group,Group is active,Aktibo ang grupo,,,approved
groupsGroupIsActiveSubtitle,Edit Group,Inactive groups are hidden from browse and lists,Ang mga inactive nga grupo kay gitago gikan sa pag-browse ug mga lista.,,,approved
groupsGroupMembersTitle,Group Members,Group Members,Mga Miyembro sa Grupo,,,approved
groupsGroupNameHint,Create Group / Edit Group,e.g. Journalism Club,e.g. Klab sa Binalita,,,approved
groupsGroupNameLabel,Create Group / Edit Group,Group name,Ngalan sa grupo,,,approved
groupsGroupNameRequired,Create Group / Edit Group,Enter a group name,Isulod ang ngalan sa grupo,,,approved
groupsGroupNotFound,Edit Group / Edit Group Position Roles,Group not found,Walay nakitang grupo,,,approved
groupsGroupRoleLabel,Add Group Members,Group role,Grupo nga papel,,,approved
groupsGroupSettingsSaved,Edit Group / Groups — Group Membership Policy Sheet,Group settings saved,Na-save ang mga setting sa grupo,,,approved
groupsInvitationOnlyMessage,Browse Groups,Membership by invitation only. Contact your adviser.,Membership pinaagi sa imbitasyon lamang. Kontaka ang imong magtutudlo.,,,approved
groupsJoinHintHint,Edit Group / Groups — Group Membership Policy Sheet,e.g. Auditions in August,"pananglitan, Auditions sa Agosto",,,approved
groupsJoinHintLabel,Edit Group / Groups — Group Membership Policy Sheet,Join hint (optional),Tip sa pag-apil (opsyonal),,,approved
groupsJoinMessageHint,Browse Groups,Tell the leader why you want to join,Sultihi ang lider kung nganong gusto ka moapil,,,approved
groupsJoinMessageLabel,Browse Groups,Message (optional),Mensahe (opsyonal),,,approved
groupsJoinRequestSubmitted,Browse Groups,Join request submitted,Nagsumite og hangyo sa pag-apil,,,approved
groupsJoinRequestTitle,Browse Groups,Request to join {groupName},Hangyo sa pag-apil sa {groupName},,,approved
groupsJoinRequestUpdated,Group Membership Requests,Join request updated,Na-update ang hangyo sa pag-apil,,,approved
groupsLeaveAnytime,Create Group / Edit Group / Groups — Group Membership Policy Sheet,Leave anytime,Biyahe bisan kanus-a,,,approved
groupsLeaveAnytimeSubtitle,Groups — Group Membership Policy Sheet,Members can leave without approval,Ang mga miyembro makabiya nga walay pag-apruba,,,approved
groupsLeaveGroup,My Groups,Leave group,Biyaan ang grupo,,,approved
groupsLeaveGroupMessage,My Groups,You will stop receiving alerts for this group.,Mawad-an ka na og mga pahibalo para niining grupoha.,,,approved
groupsLeaveGroupTitle,My Groups,Leave group?,Mobiya sa grupo?,,,approved
groupsLeavePending,My Groups,Leave pending,Biyaan nga naghulat,,,approved
groupsLeaveReasonHint,My Groups,At least 20 characters,Kinahanglan nga labing menos 20 ka karakter,,,approved
groupsLeaveReasonLabel,My Groups,Why do you want to leave?,Ngano gusto nimo nga mabiyaan?,,,approved
groupsLeaveReasonMinLength,My Groups,Please enter at least 20 characters,Palihug isulod ang labing menos 20 ka mga karakter,,,approved
groupsLeaveRequestCancelled,My Groups,Leave request cancelled,Niwang hangyo sa pagbiya gikansela,,,approved
groupsLeaveRequestDialogTitle,My Groups,Request to leave,Hangyo sa Pagbiya,,,approved
groupsLeaveRequestSubmitted,My Groups,Leave request submitted,Nagsumite og hangyo sa pagbiya,,,approved
groupsLeaveRequestUpdated,Group Membership Requests,Leave request updated,Na-update ang hangyo sa pagbiya,,,approved
groupsLeftGroup,My Groups,You left the group,Nibiya ka sa grupo,,,approved
groupsMakeLeader,Group Members,Make leader,Himoon nga lider,,,approved
groupsMakeMember,Group Members,Make member,Himuang miyembro,,,approved
groupsManageMembers,My Groups,Manage Members,Pagdumala sa mga Miyembro,,,approved
groupsMemberCount,Groups List / My Groups,"{count, plural, =1{1 member} other{{count} members}}","{count, plural, =1{1 ka miyembro} other{{count} ka mga miyembro}}",,,approved
groupsMemberLeavePolicy,Create Group / Edit Group / Groups — Group Membership Policy Sheet,Member leave policy,Palisiya sa pagbiya sa mga miyembro,,,approved
groupsMembershipRequests,Group Members,Membership requests,Mga hangyo sa pagka-miyembro,,,approved
groupsMembershipRequestsCount,Group Members,Membership requests ({count}),Mga hangyo sa pagka-miyembro ({count}),,,approved
groupsMembershipRequestsTitle,Group Membership Requests,{groupName} — Requests,{groupName} — Mga Hangyo,,,approved
groupsMembershipSettings,Groups — Group Membership Policy Sheet,Membership settings,Mga setting sa pagiging miyembro,,,approved
groupsMoreActions,Groups List,More actions,Dugang nga mga aksyon,,,approved
groupsMustRequestToLeave,Create Group / Edit Group / Groups — Group Membership Policy Sheet,Must request to leave,Kinahanglan mag-request aron makabiya,,,approved
groupsMustRequestToLeaveSubtitle,Groups — Group Membership Policy Sheet,Requires a reason and leader approval,Kinahanglan og rason ug pag-apruba sa lider,,,approved
groupsMyGroupsEmptyMessage,My Groups,"When an administrator adds you to a club, it will appear here. You can also browse open groups and request to join.","Kung ang usa ka administrador magdugang kanimo sa usa ka club, makita kini dinhi. Mahimo usab nimo tan-awon ang mga bukas nga grupo ug mangayo nga moapil.",,,approved
groupsNewGroup,Groups List,New Group,Bag-ong Grupo,,,approved
groupsNoMembersManageHint,Group Members,Add students or staff to this group.,Idugang ang mga estudyante o kawani sa kini nga grupo.,,,approved
groupsNoMembersViewHint,Group Members,Members will appear here once added.,Magpakita ang mga miyembro dinhi kung maidugang na.,,,approved
groupsNoMembersYet,Group Members,No members yet,Wala pay mga miyembro,,,approved
groupsNoPendingJoinRequests,Group Membership Requests,No pending join requests,Walay mga naghulat nga hangyo sa pag-apil,,,approved
groupsNoPendingLeaveRequests,Group Membership Requests,No pending leave requests,Walay mga pending nga hangyo sa pagbiya,,,approved
groupsNoPosition,Add Group Members / Group Members,No position,Walay posisyon,,,approved
groupsNoPositionSelected,Group Members,No position ✓,Walay posisyon ✓,,,approved
groupsNoSearchMatch,Groups List,No groups match your search,Walay grupo nga nagtugma sa imong gipangita,,,approved
groupsNoSearchResults,Browse Groups,No groups match your search.,Walay mga grupo nga nagtugma sa imong gipangita.,,,approved
groupsNoUsersMatchSearch,Add Group Members,No users match your search.,Walay mga tiggamit nga nagtugma sa imong gipangita.,,,approved
groupsOpenToJoin,Groups List,open to join,abli sa pag-apil,,,approved
groupsPending,Groups List,pending,naghulat,,,approved
groupsPostAnnouncement,My Groups,Post Announcement,I-post ang Anunsyo,,,approved
groupsReasonRequired,Group Membership Requests,A reason is required,Kinahanglan ug rason,,,approved
groupsRemoveFromGroup,Group Members,Remove from group,Kuhaa gikan sa grupo,,,approved
groupsRemoveMemberMessage,Group Members,Remove {name} from this group?,Tangtangon si {name} gikan sa kini nga grupo?,,,approved
groupsRemoveMemberTitle,Group Members,Remove member?,Tangtangon ang miyembro?,,,approved
groupsRequestCancelled,Browse Groups,Request cancelled,Nihunong ang hangyo,,,approved
groupsRequests,My Groups,Requests,Mga Hangyo,,,approved
groupsRequestsCount,My Groups,Requests ({count}),Mga Hangyo ({count}),,,approved
groupsRequestToJoin,Browse Groups,Request to Join,Hangyo sa Pag-apil,,,approved
groupsRequestToLeave,My Groups,Request to leave,Hangyo nga mabiyaan,,,approved
groupsRoleLeader,Groups (shared),Leader,Pangulo,,,approved
groupsRoleMember,Groups (shared),Member,Miyembro,,,approved
groupsSaveChanges,Edit Group,Save Changes,I-save ang mga Pagbag-o,,,approved
groupsSavePositions,Edit Group Position Roles,Save Positions,I-save ang mga Posisyon,,,approved
groupsSearchClubHint,Browse Groups,Club or program name,Ngalan sa club o programa,,,approved
groupsSearchGroupsHint,Groups List,Search groups…,Pangitaa ang mga grupo…,,,approved
groupsSeedDemoGroups,Groups List,Seed Demo Groups,Ibutang ang mga Demo nga Grupo,,,approved
groupsSeedDemoSubtitle,Groups List,"SPJ, Drum & Lyre, SSLG","SPJ, Drum & Lyre, SSLG",,,approved
groupsSeedFailed,Groups List,Seed failed: {error},Nabigo ang seed: {error},,,approved
groupsSeeding,Groups List,Seeding…,Nag-seed…,,,approved
groupsSeedSuccess,Groups List,Demo groups added successfully,Malampusong nadugang ang mga demo nga grupo,,,approved
groupsSendAlert,My Groups,Send Alert,Magpadala og Alerto,,,approved
groupsStatusInvitationOnly,Browse Groups,Invitation only,Imbitasyon ra,,,approved
groupsStatusMember,Browse Groups,Member,Miyembro,,,approved
groupsStatusOpenToRequests,Browse Groups,Open to requests,Bukas sa mga hangyo,,,approved
groupsStatusPending,Browse Groups,Pending,Naghulat,,,approved
groupsStudentIdPrefix,Group Membership Requests,ID: {id},ID: {id},,,approved
groupsSyncFailed,Groups List,Sync failed: {error},Nawala ang pag-synchronize: {error},,,approved
groupsSyncIndexes,Groups List,Sync My Groups Indexes,I-synchronize ang Akong Mga Grupo nga Indexes,,,approved
groupsSyncIndexesSubtitle,Groups List,Repair member visibility after roster changes,Ayuhon ang pagtan-aw sa mga miyembro human sa mga kausaban sa roster,,,approved
groupsSyncing,Groups List,Syncing…,Nag-synchronize…,,,approved
groupsSyncSuccess,Groups List,"{count, plural, =1{Synced 1 membership for My Groups} other{Synced {count} memberships for My Groups}}","{count, plural, =1{Na-synced ang 1 ka membership para sa Akong mga Grupo} other{Na-synced ang {count} ka memberships para sa Akong mga Grupo}}",,,approved
groupsTabJoinCount,Group Membership Requests,Join ({count}),Apil ({count}),,,approved
groupsTabLeaveCount,Group Membership Requests,Leave ({count}),Biyaan ({count}),,,approved
groupsTryDifferentSearch,Groups List,Try a different search term.,Sulayi ang lain nga termino sa pagpangita.,,,approved
groupsViewMembers,My Groups,View Members,Tan-awa ang mga Miyembro,,,approved
helpAdminAccessDenied,Help Article,You do not have access to this administrator guide.,Wala kay access sa kini nga giya sa administrador.,,,approved
helpAdminGuideSubtitle,Help (shared),"Roster, groups, reports, and reminders","Lista, mga grupo, mga report, ug mga pahimangno",,,approved
helpAdminGuideTitle,Help (shared),Administrator Guide,Giya sa Administrator,,,approved
helpGuideNotFound,Help Article,This guide could not be found.,Wala makit-i ang giya nga kini.,,,approved
helpHubAdminNote,Help Hub,Includes administration topics for your role.,Naglakip sa mga topiko sa administrasyon alang sa imong papel.,,,approved
helpHubDescription,Help Hub,Guides for {orgName}. {adminNote}Content is specific to how this organization is set up.,Mga giya para sa {orgName}. {adminNote}Ang sulod kay espesipiko sa kung giunsa pag-set up ang kini nga organisasyon.,,,approved
helpHubHeadline,Help Hub,Guides for using SpeakUp Connect,Mga giya sa paggamit sa SpeakUp Connect,,,approved
helpLoadFailed,Help — Load,Could not load guide for your organization.,Dili ma-load ang giya para sa imong organisasyon.,,,approved
helpLoadFailedDetail,Help Article,"Could not load guide for your organization.
{error}",Dili ma-load ang giya para sa imong organisasyon. {error},,,approved
helpMemberGuideSubtitle,Help (shared),"Sign in, submit reports, and use alerts","Mag-sign in, mag-submit og mga report, ug gamita ang mga alerto",,,approved
helpMemberGuideTitle,Help (shared),Member Guide,Giya sa Miyembro,,,approved
helpOrgFallback,Help Hub,your organization,imong organisasyon,,,approved
helpTitle,Help Article,Help,Tabang,,,approved
homeAnnouncements,Home Dashboard,Announcements,Mga Anunsyo,,,approved
homeDefaultWelcomeMessage,Shared,How can we help make things better?,Unsaon namo pagtabang aron mapalambo ang mga butang?,,,approved
homeGroupsCount,Groups — My Groups Home Section,"{count, plural, =1{1 group} other{{count} groups}}","{count, plural, =1{1 grupo} other{{count} mga grupo}}",,,approved
homeGroupsEmptyMessage,Groups — My Groups Home Section,You are not in any groups yet. Tap View for details.,Wala ka pa sa bisan unsang grupo. I-tap ang Tan-awa para sa mga detalye.,,,approved
homeGroupsLoadError,Groups — My Groups Home Section,Could not load your groups. Tap See all to retry.,Dili ma-load ang imong mga grupo. I-tap ang Tan-awa ang tanan aron mosulay pag-usab.,,,approved
homeGroupsNone,Groups List / Groups — My Groups Home Section / My Groups,No groups yet,Walay mga grupo pa,,,approved
homeGroupsSeeAll,Groups — My Groups Home Section,See all,Tan-awa tanan,,,approved
homeGroupsSeeAllCount,Groups — My Groups Home Section,See all ({count}),Tan-awa tanan ({count}),,,approved
homeGroupsTitle,Groups — My Groups Home Section / My Groups,My Groups & Clubs,Ang Akong mga Grupo ug Klab,,,approved
homeGroupsView,Groups — My Groups Home Section,View,Tan-awa,,,approved
homeMyReports,Home Dashboard,"My Reports
(Track Status)",Ang Akong mga Report (Sundan ang Kahimtang),,,approved
homeNavAlerts,Home Dashboard,Alerts,Mga Abiso,,,approved
homeNavMyReports,Home Dashboard,My Reports,Ang Akong mga Report,,,approved
homeNavProfile,Home Dashboard,Profile,Profile,,,approved
homeOrgFallback,Home Dashboard,Org,Org,,,approved
homeOrgInfoComingSoon,Home Dashboard,Organization Info — Coming Soon,Impormasyon sa Organisasyon — Sa Umaabot,,,approved
homeOrgInformation,Home Dashboard,"{orgName}
Information","{orgName}  
Impormasyon",,,approved
homeQuickActions,Home Dashboard,Quick Actions,Mabilis nga mga Aksyon,,,approved
homeSubmitConcern,Home Dashboard,"Submit
Concern",Ipadala ang Kabalaoran,,,approved
homeTitle,Home Dashboard,Home,Balay,,,approved
homeWelcome,Home Dashboard,"Welcome, {firstName}!","Dayon, {firstName}!",,,approved
homeWelcomeMessageWithOrgType,Shared,How can we help make our {orgType} better?,Unsaon namo pagtabang aron mapalambo ang among {orgType}?,,,approved
memberManagementAssignGrade,Enrolled Users,Assign grade,Ihatag ang grado,,,approved
memberManagementAssignGradeDialogTitle,Enrolled Users,Assign grade to {name},Ihatag ang grado kang {name},,,approved
memberManagementBlock,Enrolled Users,Block,I-block,,,approved
memberManagementBlockDialogTitle,Enrolled Users,Block {name}?,I-block si {name}?,,,approved
memberManagementBlocked,Enrolled Users,Member blocked,Nablock ang miyembro,,,approved
memberManagementBlockReasonHint,Enrolled Users,Why is this account being blocked?,Ngano nga gi-block ang kini nga account?,,,approved
memberManagementBlockReasonLabel,Enrolled Users,Block reason: {reason},Rason sa pag-block: {reason},,,approved
memberManagementBulkAssignGrade,Member Management Management,Assign grade,Ihatag ang grado,,,approved
memberManagementBulkBlock,Member Management Management,Block,I-block,,,approved
memberManagementBulkBlockConfirmMessage,Enrolled Users,{count} member(s) will lose access immediately.,{count} ka myembro ang mawadan og access dayon.,,,approved
memberManagementBulkBlockHint,Enrolled Users,Why are these accounts being blocked?,Ngano nga kini nga mga account gi-block?,,,approved
memberManagementBulkBlockTitle,Enrolled Users,Block {count} members?,I-block ang {count} nga mga miyembro?,,,approved
memberManagementBulkReenroll,Member Management Management,Re-enroll,I-re-enroll,,,approved
memberManagementBulkUnblockMessage,Enrolled Users,These members will regain access to the organization.,Makaangkon na og access ang mga miyembro sa organisasyon.,,,approved
memberManagementBulkUnblockTitle,Enrolled Users,Unblock {count} members?,I-unblock ang {count} nga mga miyembro?,,,approved
memberManagementBulkUnenroll,Member Management Management,Unenroll,I-unenroll,,,approved
memberManagementConfirmBlockAction,Enrolled Users,Confirm block,Kumpirmaha ang pag-block,,,approved
memberManagementConfirmBlockMessage,Enrolled Users,{name} will lose access immediately.,{name} mawagtang ang access dayon.,,,approved
memberManagementConfirmBlockTitle,Enrolled Users,Confirm block,Kumpirmaha ang pag-block,,,approved
memberManagementConfirmGradeMany,Enrolled Users,Set {count} members to Grade {grade}?,I-set ang {count} ka mga miyembro sa Baitang {grade}?,,,approved
memberManagementConfirmGradeOne,Enrolled Users,Set {name} to Grade {grade}?,I-set si {name} sa Baitang {grade}?,,,approved
memberManagementConfirmGradeTitle,Enrolled Users,Confirm grade assignment,Kumpirmaha ang pag-assign sa grado,,,approved
memberManagementConfirmReenrollAction,Enrolled Users,Confirm re-enroll,Kumpirmaha ang pag-re-enroll,,,approved
memberManagementConfirmUnblockAction,Enrolled Users,Confirm unblock,Kumpirmaha ang pag-unblock,,,approved
memberManagementConfirmUnenrollAction,Enrolled Users,Confirm unenroll,Kumpirmaha ang pag-undang sa enrollment,,,approved
memberManagementConfirmUnenrollMessageMany,Enrolled Users,{count} members will lose access immediately.,{count} nga mga miyembro ang mawala sa access dayon.,,,approved
memberManagementConfirmUnenrollMessageOne,Enrolled Users,This member will lose access immediately.,Mawala ang access sa miyembrong kini dayon.,,,approved
memberManagementConfirmUnenrollTitle,Enrolled Users,Confirm unenrollment,Kumpirmaha ang pag-undang sa enrollment,,,approved
memberManagementEditProfile,Enrolled Users,Edit profile…,Usba ang profile…,,,approved
memberManagementEmptyActive,Enrolled Users,No active members found.,Walay aktibong mga miyembro nga nakit-an.,,,approved
memberManagementEmptyBlocked,Enrolled Users,No blocked members found.,Walay nakablok nga mga miyembro nga nakuha.,,,approved
memberManagementEmptyFiltered,Enrolled Users,No members match your filters.,Walay mga miyembro nga nagtugma sa imong mga filter.,,,approved
memberManagementEmptyUnenrolled,Enrolled Users,No unenrolled members found.,Walay nakab-ot nga mga miyembro nga wala magparehistro.,,,approved
memberManagementGradeAssigned,Member Management Management,Grade assigned,Nakatakdang grado,,,approved
memberManagementLoadFailed,Enrolled Users,Failed to load: {error},Nakapakyas sa pag-load: {error},,,approved
memberManagementNoAccess,Enrolled Users,You do not have permission to manage enrolled members.,Wala kay permiso sa pagdumala sa mga nakarehistrong miyembro.,,,approved
memberManagementPreviewAndMore,Enrolled Users,…and {count} more,…ug {count} pa,,,approved
memberManagementReenroll,Enrolled Users,Re-enroll,Mag-re-enroll,,,approved
memberManagementReenrollDialogTitle,Member Management Management,Re-enroll {name}?,I-re-enroll si {name}?,,,approved
memberManagementReenrollMessageMany,Enrolled Users,{count} members will regain full access.,{count} nga mga miyembro ang makabawi sa tibuok nga access.,,,approved
memberManagementReenrollMessageOne,Enrolled Users,This member will regain full access to the organization.,Makaangkon kini nga miyembro og hingpit nga access sa organisasyon.,,,approved
memberManagementReenrollTitleMany,Enrolled Users,Re-enroll {count} members?,I-re-enroll ang {count} nga mga miyembro?,,,approved
memberManagementReenrollTitleOne,Enrolled Users,Re-enroll {name}?,Mag-re-enroll ba ka sa {name}?,,,approved
memberManagementResetPassword,Enrolled Users,Reset password…,I-reset ang password…,,,approved
memberManagementSearchHint,Enrolled Users,Search by name or email…,Pangitaa pinaagi sa ngalan o email…,,,approved
memberManagementSelectedCount,Enrolled Users / Roster Management,{count} selected,{count} napili,,,approved
memberManagementUnblock,Enrolled Users,Unblock,I-unblock,,,approved
memberManagementUnblocked,Enrolled Users,Member unblocked,Na-unblock ang miyembro,,,approved
memberManagementUnblockMessage,Enrolled Users,This member will regain access to the organization.,Makaangkon pag-usab ang miyembro nga kini og access sa organisasyon.,,,approved
memberManagementUnenroll,Enrolled Users,Unenroll,Ihawa,,,approved
memberManagementUnenrollDialogTitle,Member Management Management,Unenroll {name}?,I-unenroll si {name}?,,,approved
memberManagementUnenrollHint,Enrolled Users,"e.g. Graduated, transferred, left the school","e.g. Nakatapos, nagbalhin, mibiya sa eskwelahan",,,approved
memberManagementUnenrollReasonLabel,Enrolled Users,Unenrolled: {reason},Nawala sa enrollment: {reason},,,approved
memberManagementUnenrollTitleMany,Enrolled Users,Unenroll {count} members?,I-unenroll ang {count} nga mga miyembro?,,,approved
memberManagementUnenrollTitleOne,Enrolled Users,Unenroll {name}?,I-unenroll si {name}?,,,approved
memberManagementUpdated,Enrolled Users,Member updated,Nabag-o ang miyembro,,,approved
memberManagementUpdatedCount,Enrolled Users,Updated {count} member(s),Na-update ang {count} nga miyembro(s),,,approved
myReportsEmptyAll,My Reports,You haven't submitted any reports yet.,Wala ka pa nakasumite og bisan unsang report.,,,approved
myReportsEmptyFiltered,My Reports,"No reports with status ""{status}"".","Walay mga report nga adunay status nga ""{status}"".",,,approved
myReportsNewReport,My Reports,New Report,Bag-ong Ulat,,,approved
myReportsNoReportsYet,My Reports,No reports yet,Wala pa'y mga report,,,approved
myReportsTabAll,My Reports,All,Tanan,,,approved
myReportsTabInProgress,My Reports,In Progress,Sa Progreso,,,approved
myReportsTabResolved,My Reports,Resolved,Nasulbad,,,approved
myReportsTitle,My Reports,My Reports,Ang Akong mga Report,,,approved
orgSettingsAddDefaultCategories,Admin Branding,Add Default Categories,Idugang ang mga Default nga Kategorya,,,approved
orgSettingsAddingCategories,Admin Branding,Adding…,Nagdugang…,,,approved
orgSettingsAllowPersonalPhotos,Admin Branding,Allow personal profile photos,Tugoti ang mga personal nga litrato sa profile,,,approved
orgSettingsAutoAdjustSave,Admin Branding,Auto-adjust & Save,Awto-adjust ug I-save,,,approved
orgSettingsBrandColorsSubtitle,Admin Branding,Enter 6-digit hex codes from the organization's brand guide (e.g. #1A73E8). Changes apply to all connected devices in real time and are cached locally for instant startup.,"Ibutang ang 6-digit nga hex codes gikan sa brand guide sa organisasyon (pananglitan, #1A73E8). Ang mga kausaban magamit sa tanan nga nakonektang mga device sa tinuod nga oras ug gi-cache lokal alang sa dali nga pagsugod.",,,approved
orgSettingsBrandColorsTitle,Admin Branding,Brand Colors,Mga Kulay sa Brand,,,approved
orgSettingsBrandingInfo,Admin Branding,"After saving, the new colors will appear immediately on all connected devices. On this device the branding is also written to local storage, so it loads correctly on the next app launch before Firestore responds.","Pagkahuman sa pag-save, ang bag-ong mga kolor magpakita dayon sa tanan nga nakonektang mga device. Sa kini nga device, ang branding isulat usab sa lokal nga storage, aron kini ma-load nga husto sa sunod nga paglansad sa app sa wala pa mag-reply ang Firestore.",,,approved
orgSettingsBrandingUpdated,Admin Branding,Branding updated successfully,Na-update ang branding nga malampuson,,,approved
orgSettingsCategoriesConfigured,Admin Branding,{count} categories configured,{count} nga kategorya ang na-configure,,,approved
orgSettingsChangeOrgTypeConfirm,Admin Branding,"Change from {fromType} to {toType}?

{description}

This affects which admin features are available (such as student grades and roster for schools).","Usba gikan sa {fromType} ngadto sa {toType}?

{description}

Kini makaapekto sa mga admin nga bahin nga magamit (sama sa mga grado sa estudyante ug roster para sa mga eskwelahan).",,,approved
orgSettingsChangeOrgTypeTitle,Admin Branding,Change organization type?,Usbon ang tipo sa organisasyon?,,,approved
orgSettingsColorHint,Admin Branding,e.g. #1A73E8,e.g. #1A73E8,,,approved
orgSettingsContrastDarkBackgrounds,Admin Branding,dark backgrounds,madulong nga mga background,,,approved
orgSettingsContrastLightAndDarkBackgrounds,Admin Branding,light and dark backgrounds,hayag ug ngitngit nga mga background,,,approved
orgSettingsContrastLightBackgrounds,Admin Branding,light backgrounds,hayag nga mga background,,,approved
orgSettingsContrastNeither,Admin Branding,"Neither your primary ({primary}) nor secondary ({secondary}) color provides enough contrast against {surfaces}. Buttons, links, and icons may be hard to see.

You can save anyway, or let the app shift the primary color to the nearest contrast-safe shade.","Wala’y bisan unsa sa imong panguna ({primary}) o sekondarya ({secondary}) nga kolor nga naghatag og igo nga ka-kontra batok sa {surfaces}. Ang mga butones, link, ug icon mahimong lisod makita.

Mahimo ka magtipig bisan unsa, o pasagdan ang app nga ibalhin ang pangunang kolor sa labing duol nga luwas nga anino sa ka-kontra.",,,approved
orgSettingsContrastSecondaryFallback,Admin Branding,"Your primary color ({primary}) isn't visible enough on {surfaces} — it will blend into the background.

Your secondary color ({secondary}) will be used as a fallback for buttons and icons, but you may want a more suitable primary.

You can save anyway or let the app shift the primary to the nearest contrast-safe shade.","Ang imong pangunahing kolor ({primary}) dili igo nga makita sa {surfaces} — kini maghiusa sa background.

Ang imong sekondaryang kolor ({secondary}) gamiton isip fallback para sa mga buton ug mga icon, apan mahimo nimong gustohon ang mas angay nga pangunahing kolor.

Makahimo ka gihapon sa pag-save o pasagdan ang app nga ilisan ang pangunahing kolor ngadto sa labing duol nga ligtas nga shade sa contrast.",,,approved
orgSettingsContrastWarning,Admin Branding,Contrast Warning,Babag sa Kontrasto,,,approved
orgSettingsDisplayName,Admin Branding,Display Name,Ngalan sa Pagpakita,,,approved
orgSettingsDisplayNameHint,Admin Branding,e.g. Riverside High,e.g. Riverside High,,,approved
orgSettingsHexInvalid,Admin Branding,Enter a valid 6-digit hex (e.g. #1A73E8),"Isulod ang balido nga 6-digit nga hex (pananglitan, #1A73E8)",,,approved
orgSettingsMemberPhotosDisabled,Admin Branding,Personal profile photos are disabled for members,Gidisable ang personal nga profile photos para sa mga miyembro,,,approved
orgSettingsMemberPhotosEnabled,Admin Branding,Members can now upload personal profile photos,Ang mga miyembro makapadugang na og personal nga mga litrato sa profile.,,,approved
orgSettingsMemberPhotosOff,Admin Branding,Currently OFF — only official school photos are shown,Karon NAKA-OFF — ang mga opisyal nga litrato sa eskwelahan ra ang ipakita,,,approved
orgSettingsMemberPhotosOn,Admin Branding,Currently ON — members can add a personal badge in Settings,Karon NAKA-ON — ang mga miyembro makadugang og personal nga badge sa Mga Setting,,,approved
orgSettingsMemberPhotosSubtitle,Admin Branding,"When enabled, students may upload a personal badge in Settings. Official school photos uploaded by staff remain a separate permanent record and are never overwritten.","Kung nakabukas, ang mga estudyante mahimong mag-upload og personal nga badge sa Settings. Ang opisyal nga mga litrato sa eskwelahan nga gi-upload sa mga kawani magpabilin nga usa ka lahi nga permanente nga rekord ug dili gayud mapulihan.",,,approved
orgSettingsMemberPhotosTitle,Admin Branding,Member Profile Photos,Mga Larawan sa Profile sa Miyembro,,,approved
orgSettingsOrgNameSubtitle,Admin Branding,"Displayed on the splash screen as ""SpeakUp [Name]"".","Ipakita sa splash screen nga ""SpeakUp [Name]"".",,,approved
orgSettingsOrgNameTitle,Admin Branding,Organization Name,Ngalan sa Organisasyon,,,approved
orgSettingsOrgTypeFailed,Admin Branding,Update failed: {error},Nakapakyas ang pag-update: {error},,,approved
orgSettingsOrgTypeSaved,Admin Branding,Organization type set to {type},Nakatakda ang tipo sa organisasyon sa {type},,,approved
orgSettingsOrgTypeSubtitle,Admin Branding,Determines which features are available. Schools can use student grades and roster; municipalities and NGOs use member management without grades.,Nagdeterminar kung unsang mga bahin ang magamit. Ang mga eskwelahan makagamit sa mga grado sa estudyante ug roster; ang mga munisipyo ug NGO maggamit sa pagdumala sa mga miyembro nga walay mga grado.,,,approved
orgSettingsOrgTypeTitle,Admin Branding,Organization Type,Uri sa Organisasyon,,,approved
orgSettingsPermissionDenied,Admin Branding,You do not have permission to change this setting.,Wala kay permiso sa pag-usab niining settinga.,,,approved
orgSettingsPrimaryColor,Admin Branding,Primary Color,Pangunang Kulay,,,approved
orgSettingsPrimaryHexInvalid,Admin Branding,Primary color must be a valid 6-digit hex (e.g. #1A73E8).,Ang pangunang kolor kinahanglan usa ka balido nga 6-digit nga hex (pananglitan #1A73E8).,,,approved
orgSettingsPrimarySwatch,Admin Branding,Primary,Panguna,,,approved
orgSettingsProfilePhotoSaveFailed,Admin Branding,Profile photo setting did not save.,Wala masulod ang setting sa profile photo.,,,approved
orgSettingsReminderApprovalDisabled,Admin Branding,Reminders now publish directly,Ang mga pahimangno karon direkta nang gipagawas,,,approved
orgSettingsReminderApprovalEnabled,Admin Branding,Reminders now require approval before publishing,Ang mga pahimangno karon nagkinahanglan og pag-apruba sa dili pa ipagawas.,,,approved
orgSettingsReminderApprovalOff,Admin Branding,Currently OFF — reminders publish immediately,Karon OFF — ang mga pahimangno gipagawas dayon,,,approved
orgSettingsReminderApprovalOn,Admin Branding,Currently ON — reminders from non-approvers are held for review,Karon NAKA-ON — ang mga pahimangno gikan sa mga dili mag-aproba gipugngan alang sa pagrepaso,,,approved
orgSettingsReminderApprovalSaveFailed,Admin Branding,Reminder approval setting did not save.,Wala masulod ang setting sa pag-apruba sa pahimangno.,,,approved
